Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores[0],HomeLineScores[1],HomeLineScores[2],HomeLineScores[3],HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores[0],AwayLineScores[1],AwayLineScores[2],AwayLineScores[3],AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,Highlights,Notes,awayLeagueId,homeLeagueId
401282714,2021,1,regular,2021-08-28T17:20:00.000Z,FALSE,TRUE,FALSE,TRUE,41064,3832,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,30,2,14,14,0,0.4056606387,1392,1411,158,Nebraska,fbs,Big Ten,22,0,9,7,6,0.5943393613,1503,1484,5.485981256,,,1,1
401286187,2021,1,regular,2021-08-28T18:00:00.000Z,FALSE,TRUE,FALSE,FALSE,26043,3660,Valley Children's Stadium,278,Fresno State,fbs,Mountain West,45,7,24,7,7,0.9989676192,1465,1566,41,UConn,fbs,FBS Independents,0,0,0,0,0,0.001032380786,1223,1122,1.535556277,,,1,1
401329133,2021,1,regular,2021-08-28T19:00:00.000Z,FALSE,TRUE,TRUE,TRUE,,3861,Ohio Stadium,2119,Central State (OH),ii,SIAC,6,0,0,0,6,,,,2310,Kentucky State,ii,SIAC,20,6,7,0,7,,,,,,,#N/A,#N/A
401309833,2021,1,regular,2021-08-28T19:30:00.000Z,FALSE,TRUE,FALSE,FALSE,32982,1056,Rose Bowl,26,UCLA,fbs,Pac-12,44,24,7,13,0,0.9989237963,1517,1605,62,Hawai'i,fbs,Mountain West,10,3,0,7,0,0.001076203709,1466,1378,1.39118468,,,1,1
401328337,2021,1,regular,2021-08-28T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3829,Memorial Stadium,282,Indiana State,fcs,MVFC,26,7,3,7,9,,,,2197,Eastern Illinois,fcs,OVC,21,0,7,7,7,,,,,,,8,8
401327539,2021,1,regular,2021-08-28T23:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,4246,Center Parc Stadium,2428,North Carolina Central,fcs,MEAC,23,0,7,6,10,,,,2016,Alcorn State,fcs,SWAC,14,7,0,7,0,,,,,,Cricket MEAC/SWAC Challenge,8,8
401282049,2021,1,regular,2021-08-29T01:30:00.000Z,FALSE,TRUE,FALSE,FALSE,19034,3601,Aggie Memorial Stadium,166,New Mexico State,fbs,FBS Independents,3,0,3,0,0,0.0003672266074,1261,1182,2638,UTEP,fbs,Conference USA,30,17,3,10,0,0.9996327734,1222,1301,1.702419944,,,1,1
401310693,2021,1,regular,2021-08-29T02:00:00.000Z,FALSE,TRUE,FALSE,FALSE,16204,3935,CEFCU Stadium,23,San José State,fbs,Mountain West,45,21,17,7,0,0.9989556844,,,253,Southern Utah,fcs,Big Sky,14,0,14,0,0,0.00104431555,,,1.225518089,,,1,8
401282050,2021,1,regular,2021-09-01T23:30:00.000Z,FALSE,TRUE,TRUE,FALSE,9122,3689,Cramton Bowl,55,Jacksonville State,fcs,AWC,0,0,0,0,0,0.0003023172539,,,5,UAB,fbs,Conference USA,31,0,10,14,7,0.9996976827,,,2.131612318,,Montgomery Kickoff,8,1
401328989,2021,1,regular,2021-09-02T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3600,Tom Adams Field,131,Wayne State (MI),ii,GLIAC,21,6,8,7,0,,,,215,Slippery Rock,ii,Pennsylvania State Athletic,24,7,3,14,0,,,,,,,#N/A,#N/A
401328204,2021,1,regular,2021-09-02T22:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,3788,Kenneth P. LaValle Stadium,2619,Stony Brook,fcs,CAA,21,0,0,14,7,,,,160,New Hampshire,fcs,CAA,27,6,14,7,0,,,,,,,8,8
401328215,2021,1,regular,2021-09-02T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,5781,Irwin Belk Stadium,351,Wingate,ii,South Atlantic,30,14,7,3,6,,,,2551,Shaw,ii,CIAA,7,0,0,0,7,,,,,,,#N/A,#N/A
401300995,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,43928,3652,FBC Mortgage Stadium,2116,UCF,fbs,American Athletic,36,0,14,14,8,0.9342124592,1648,1651,68,Boise State,fbs,Mountain West,31,14,10,0,7,0.06578754083,1602,1599,10.20140089,,,1,1
401309542,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,17521,3965,UB Stadium,2084,Buffalo,fbs,Mid-American,69,14,24,21,10,0.9983755575,,,2681,Wagner,fcs,NEC,7,0,0,0,7,0.001624442505,,,1.030619059,,,1,8
401309540,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,13149,3919,Scheumann Stadium,2050,Ball State,fbs,Mid-American,31,7,0,14,10,0.9215833962,,,2710,Western Illinois,fcs,MVFC,21,0,7,7,7,0.07841660377,,,2.026239041,,,1,8
401328309,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,5871,Convoy Leslie Cotton Boll Stadium,2028,Arkansas-Monticello,ii,Great American,30,7,23,0,0,,,,200,Southern Nazarene,ii,Great American,23,0,7,8,8,,,,,,,#N/A,#N/A
401337471,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,5886,West Family Stadium,2699,West Liberty,ii,Mountain East,6,0,0,0,6,,,,2682,Walsh,ii,Great Midwest Athletic,27,3,14,3,7,,,,,,,#N/A,#N/A
401328397,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,6073,Milam Stadium,2927,Southwestern Oklahoma State,ii,Great American,13,0,0,13,0,,,,2271,Henderson State,ii,Great American,31,7,7,7,10,,,,,,,#N/A,#N/A
401328432,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,4763,Ranger Field,2823,Northwestern Oklahoma State,ii,Great American,13,3,0,3,7,,,,2568,Southern Arkansas,ii,Great American,32,6,6,7,13,,,,,,,#N/A,#N/A
401328466,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,6065,Cliff Harris Stadium,2888,Ouachita Baptist,ii,Great American,38,14,3,7,14,,,,319,Oklahoma Baptist,ii,Great American,31,0,16,7,8,,,,,,,#N/A,#N/A
401328605,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3749,Hunter Stadium,2815,Lindenwood,ii,Great Lakes,20,7,7,0,6,,,,2025,Angelo State,ii,Lone Star,40,16,7,14,3,,,,,,,#N/A,#N/A
401328973,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3747,Hantz Stadium,2886,Northwood (MI),ii,GLIAC,21,3,3,0,15,,,,367,Gannon,ii,Pennsylvania State Athletic,28,7,0,7,7,,,,,,,#N/A,#N/A
401334787,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,5943,Duvall-Rosier Field,2986,Fairmont State,ii,Mountain East,14,0,0,14,0,,,,2858,PennWest California,ii,Pennsylvania State Athletic,23,10,3,7,3,,,,,,,#N/A,#N/A
401329015,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,5935,Parker Field at McCool Stadium,2170,Delta State,ii,Gulf South,48,,,,,,,,2064,Bethel University Tennessee,,,14,,,,,,,,,,,#N/A,#N/A
401329020,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,6053,Robinson-Hale Stadium,2401,Mississippi College,ii,Gulf South,0,0,0,0,0,,,,2013,Albany State GA,ii,SIAC,24,7,7,3,7,,,,,,,#N/A,#N/A
401329056,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3663,Burke-Tarr Stadium,2105,Carson-Newman College,ii,South Atlantic,7,7,0,0,0,,,,2698,West Georgia,ii,Gulf South,45,14,14,10,7,,,,,,,#N/A,#N/A
401329270,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3859,Offutt Field,611,Seton Hill,ii,Pennsylvania State Athletic,16,0,6,10,0,,,,112335,Wheeling,ii,Mountain East,14,0,7,7,0,,,,,,,#N/A,#N/A
401329357,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3870,Panther Stadium (OH),2477,Ohio Dominican,ii,Great Midwest Athletic,30,7,3,10,10,,,,2974,Shepherd,ii,Pennsylvania State Athletic,35,7,7,7,14,,,,,,,#N/A,#N/A
401329425,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,4431,Chryst Field at Biemesderfer Stadium,210,Millersville,ii,Pennsylvania State Athletic,9,2,0,0,7,,,,2022,American International,ii,Northeast 10,14,7,7,0,0,,,,,,,#N/A,#N/A
401329443,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,6045,Dwight T. Reed Stadium,2876,Lincoln (MO),ii,Mid America,12,6,6,0,0,,,,2687,Washburn,ii,Mid America,76,21,17,21,17,,,,,,,#N/A,#N/A
401328545,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,16236,3654,Brooks Stadium (SC),324,Coastal Carolina,fbs,Sun Belt,52,7,24,14,7,0.9989646936,,,2643,The Citadel,fcs,Southern,14,0,0,7,7,0.001035306367,,,1.189259394,,,1,8
401329491,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,3641,Blakeslee Stadium,2364,Minnesota State Mankato,ii,Northern Sun,40,7,10,0,17,,,,425,Northern State,ii,Northern Sun,34,7,10,10,7,,,,,,,#N/A,#N/A
401329503,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,6070,Bob Young Field,2894,Sioux Falls,ii,Northern Sun,16,0,0,9,7,,,,132,Bemidji State,ii,Northern Sun,24,0,10,14,0,,,,,,,#N/A,#N/A
401329651,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,6046,Meares Stadium,2369,Mars Hill,ii,South Atlantic,24,0,7,7,10,,,,2804,Chowan,ii,CIAA,30,14,3,7,0,,,,,,,#N/A,#N/A
401329689,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,6030,Harms-Eischeid Stadium,389,Upper Iowa University,ii,Northern Sun,14,0,7,0,7,,,,134,Minnesota Duluth,ii,Northern Sun,41,7,27,0,7,,,,,,,#N/A,#N/A
401357797,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,4417,Five Star Stadium at the Moye Complex,2382,Mercer,fcs,Southern,69,14,28,14,13,,,,3179,Point University,,,0,0,0,0,0,,,,,,,8,#N/A
401332315,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3701,Drake Stadium,2181,Drake,fcs,Pioneer,45,21,14,10,0,,,,455,West Virginia Wesleyan,ii,Mountain East,3,0,0,0,3,,,,,,,8,#N/A
401328458,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3925,Seibert Stadium,2535,Samford,fcs,Southern,52,14,3,21,14,,,,2635,Tennessee Tech,fcs,OVC,14,0,7,7,0,,,,,,,8,8
401328388,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,844,Stambaugh Stadium,2754,Youngstown State,fcs,MVFC,44,14,10,7,10,,,,2916,Incarnate Word,fcs,Southland,41,7,14,13,7,,,,,,,8,8
401328175,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,3607,Alfond Stadium,311,Maine,fcs,CAA,24,0,24,0,0,,,,48,Delaware,fcs,CAA,34,7,10,10,7,,,,,,,8,8
401328276,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,5870,Thone Stadium at Buerkle Field,2033,Arkansas Tech,ii,Great American,20,7,0,6,7,,,,199,Southeastern Oklahoma State,ii,Great American,38,7,17,7,7,,,,,,,#N/A,#N/A
401334756,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,5263,Steele Stadium,2316,Kentucky Wesleyan,ii,Great Midwest Athletic,13,0,3,3,7,,,,341,Frostburg State,ii,Mountain East,20,7,6,7,0,,,,,,,#N/A,#N/A
401334786,2021,1,regular,2021-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,6035,"Memorial Stadium (Wayne, NE)",2844,Wayne State (NE),ii,Northern Sun,34,10,7,10,7,,,,559,University of Mary,ii,Northern Sun,27,0,0,14,13,,,,,,,#N/A,#N/A
401329660,2021,1,regular,2021-09-02T23:05:00.000Z,FALSE,TRUE,FALSE,FALSE,,4439,Eiler-Martin Stadium,2188,East Stroudsburg University,ii,Pennsylvania State Athletic,35,21,7,0,7,,,,2487,Pace,ii,Northeast 10,14,0,7,7,0,,,,,,,#N/A,#N/A
401300993,2021,1,regular,2021-09-02T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,36752,3792,Kidd Brewer Stadium,2026,App State,fbs,Sun Belt,33,14,6,7,6,0.998147982,1659,1666,151,East Carolina,fbs,American Athletic,19,6,0,3,10,0.001852017965,1403,1396,3.084655898,,,1,1
401328768,2021,1,regular,2021-09-02T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,,3960,Top Taggart Field,2222,Ferris State,ii,GLIAC,54,20,20,14,0,,,,2224,Findlay,ii,Great Midwest Athletic,14,7,7,0,0,,,,,,,#N/A,#N/A
401309834,2021,1,regular,2021-09-02T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,51511,587,Rice-Eccles Stadium,254,Utah,fbs,Pac-12,40,13,6,7,14,0.9832270851,,,2692,Weber State,fcs,Big Sky,17,7,0,3,7,0.01677291495,,,1.719259706,,,1,8
401282607,2021,1,regular,2021-09-02T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,52633,3670,Carter-Finley Stadium,152,NC State,fbs,ACC,45,10,14,14,7,0.9987026979,1460,1565,58,South Florida,fbs,American Athletic,0,0,0,0,0,0.001297302147,1251,1146,1.719917669,,,1,1
401328383,2021,1,regular,2021-09-02T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,,7003,Houck Field,2546,Southeast Missouri State,fcs,OVC,21,7,0,7,7,,,,79,Southern Illinois,fcs,MVFC,47,14,14,10,9,,,,,,,8,8
401300994,2021,1,regular,2021-09-02T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,15085,3674,Chapman Stadium,202,Tulsa,fbs,American Athletic,17,3,7,7,0,0.4819018306,,,302,UC Davis,fcs,Big Sky,19,7,3,3,6,0.5180981694,,,6.12338122,,,1,8
401328404,2021,1,regular,2021-09-02T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,,3720,Finley Stadium,236,Chattanooga,fcs,Southern,20,7,7,6,0,,,,2046,Austin Peay,fcs,OVC,30,6,10,7,7,,,,,,,8,8
401329374,2021,1,regular,2021-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,5878,Wantland Stadium,2122,Central Oklahoma,ii,Mid America,24,10,14,0,0,,,,137,Missouri Western,ii,Mid America,20,0,7,7,6,,,,,,,#N/A,#N/A
401282789,2021,1,regular,2021-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,50805,3953,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,31,0,14,7,10,0.1706860748,1585,1582,194,Ohio State,fbs,Big Ten,45,7,3,21,14,0.8293139252,1905,1908,4.281207226,,,1,1
401329404,2021,1,regular,2021-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,5890,Lewis Field Stadium,2231,Fort Hays State,ii,Mid America,7,0,0,7,0,,,,138,Northwest Missouri St,ii,Mid America,15,2,7,0,6,,,,,,,#N/A,#N/A
401330245,2021,1,regular,2021-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,5938,Al Whitehead Field at Greyhound Stadium,2201,Eastern New Mexico,ii,Lone Star,24,7,10,7,0,,,,2120,Central Washington,ii,Great Northwest,66,21,14,17,14,,,,,,,#N/A,#N/A
401329456,2021,1,regular,2021-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,6057,Ron & Carol Cope Stadium at Foster Field,2438,Nebraska-Kearney,ii,Mid America,38,0,14,3,21,,,,2403,Missouri Southern State,ii,Mid America,0,0,0,0,0,,,,,,,#N/A,#N/A
401328420,2021,1,regular,2021-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3909,Roy Stewart Stadium,93,Murray State,fcs,OVC,35,14,7,7,7,,,,2400,Mississippi Valley State,fcs,SWAC,0,0,0,0,0,,,,,,,8,8
401329312,2021,1,regular,2021-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,5882,Ralph Stocker Stadium,11,Colorado Mesa,ii,Rocky Mountain,40,0,13,13,14,,,,2911,William Jewell,ii,Great Lakes,3,3,0,0,0,,,,,,,#N/A,#N/A
401282180,2021,1,regular,2021-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,16236,3796,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,fbs,Conference USA,59,7,21,17,14,0.9974874798,,,2630,UT Martin,fcs,OVC,21,7,7,0,7,0.002512520202,,,3.469686906,,,1,8
401310696,2021,1,regular,2021-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,15908,3971,University Stadium (NM),167,New Mexico,fbs,Mountain West,27,14,7,3,3,0.9700928934,,,2277,Houston Christian,fcs,Southland,17,0,10,0,7,0.02990710657,,,2.230787703,,,1,8
401328681,2021,1,regular,2021-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3860,O'Harra Stadium,613,South Dakota Mines,ii,Rocky Mountain,34,14,7,10,3,,,,2402,Missouri S&T,ii,Great Lakes,31,0,3,7,21,,,,,,,#N/A,#N/A
401281952,2021,1,regular,2021-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,84314,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,38,14,0,14,10,0.9851715867,1489,1524,189,Bowling Green,fbs,Mid-American,6,0,6,0,0,0.01482841331,1041,1006,1.255493408,,,1,1
401328138,2021,1,regular,2021-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,4899,Fifth Third Stadium,338,Kennesaw State,fcs,Big South,35,14,7,7,7,,,,2890,Reinhardt University,,,25,7,0,12,6,,,,,,,8,#N/A
401329340,2021,1,regular,2021-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,4724,Audrey J. Walton Stadium at Vernon Kennedy Field,2118,Central Missouri,ii,Mid America,16,0,3,6,7,,,,90,Pittsburg St,ii,Mid America,35,7,14,7,7,,,,,,,#N/A,#N/A
401329058,2021,1,regular,2021-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,5780,Altra Federal Credit Union Stadium,2851,Winona State,ii,Northern Sun,47,7,23,10,7,,,,3066,Concordia University St Paul,ii,Northern Sun,6,0,3,3,0,,,,,,,#N/A,#N/A
401329153,2021,1,regular,2021-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,4852,Neta and Eddie DeRose ThunderBowl,2570,CSU Pueblo,ii,Rocky Mountain,6,3,3,0,0,,,,2837,East Texas A&M,ii,Lone Star,12,0,6,6,0,,,,,,,#N/A,#N/A
