Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores[0],HomeLineScores[1],HomeLineScores[2],HomeLineScores[3],HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores[0],AwayLineScores[1],AwayLineScores[2],AwayLineScores[3],AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,Highlights,Notes,awayLeagueId,homeLeagueId
400795501,2015,1,regular,2015-08-29T19:30:00.000Z,FALSE,TRUE,FALSE,FALSE,,3987,Washington-Grizzly Stadium,149,Montana,fcs,Big Sky,38,10,11,7,10,,,,2449,North Dakota State,fcs,MVFC,35,7,21,0,7,,,,,,,8,8
400763593,2015,1,regular,2015-09-03T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,39184,3652,FBC Mortgage Stadium,2116,UCF,fbs,American Athletic,14,7,7,0,0,0.1013173132,1626,1609,2229,Florida International,fbs,Conference USA,15,3,0,6,6,0.8986826868,1321,1338,5.390337907,,,1,1
400603840,2015,1,regular,2015-09-03T22:00:00.000Z,FALSE,TRUE,TRUE,FALSE,51664,3628,Bank of America Stadium,2579,South Carolina,fbs,SEC,17,0,10,0,7,0.3224593251,1646,1646,153,North Carolina,fbs,ACC,13,7,6,0,0,0.6775406749,1477,1477,7.949785859,,,1,1
400799864,2015,1,regular,2015-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3629,Barker-Lane Stadium,2097,Campbell,fcs,Pioneer,41,7,14,7,13,,,,95,Pikeville,,,20,0,10,7,3,,,,,,,8,#N/A
400763399,2015,1,regular,2015-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,19717,3786,Kelly/Shorts Stadium,2117,Central Michigan,fbs,Mid-American,13,3,3,7,0,0.08629501978,1417,1407,197,Oklahoma State,fbs,Big 12,24,3,7,7,7,0.9137049802,1567,1577,3.188540636,,,1,1
400799035,2015,1,regular,2015-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3925,Seibert Stadium,2535,Samford,fcs,Southern,45,7,21,3,14,,,,2110,Central Arkansas,fcs,Southland,16,7,6,0,3,,,,,,,8,8
400756896,2015,1,regular,2015-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,27126,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,fbs,ACC,41,3,21,14,3,0.999986178,,,2210,Elon,fcs,CAA,3,0,0,3,0,0.00001382202732,,,2.087295765,,,1,8
400787299,2015,1,regular,2015-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,10473,3919,Scheumann Stadium,2050,Ball State,fbs,Mid-American,48,3,17,14,14,0.5333798289,,,2678,VMI,fcs,Southern,36,0,10,7,19,0.4666201711,,,4.738078105,,,1,8
400795494,2015,1,regular,2015-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3746,Hanson Field,2710,Western Illinois,fcs,MVFC,33,7,7,16,3,,,,2197,Eastern Illinois,fcs,OVC,5,3,0,2,0,,,,,,,8,8
400795587,2015,1,regular,2015-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3658,Buccaneer Field,2127,Charleston Southern,fcs,Big South,41,13,7,14,7,,,,2822,North Greenville,ii,Independent DII,14,0,7,7,0,,,,,,,8,#N/A
400795765,2015,1,regular,2015-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3908,Roy Kidd Stadium,2198,Eastern Kentucky,fcs,OVC,52,14,17,14,7,,,,2674,Valparaiso,fcs,Pioneer,10,0,3,0,7,,,,,,,8,8
400799924,2015,1,regular,2015-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,,3963,Harry Turpin Stadium,2466,Northwestern State,fcs,Southland,20,3,3,7,7,,,,2545,SE Louisiana,fcs,Southland,34,6,7,13,8,,,,,,,8,8
400795766,2015,1,regular,2015-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3909,Roy Stewart Stadium,93,Murray State,fcs,OVC,52,14,17,14,7,,,,2316,Kentucky Wesleyan,ii,Independent DII,12,0,0,6,6,,,,,,,8,#N/A
400795577,2015,1,regular,2015-09-03T23:30:00.000Z,FALSE,TRUE,TRUE,FALSE,,4900,Kermit Tipton Stadium,2193,East Tennessee State,fcs,FCS Independents,16,3,10,0,3,,,,338,Kennesaw State,fcs,Big South,56,7,14,21,14,,,,,,,8,8
400756895,2015,1,regular,2015-09-03T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,49196,721,Bobby Dodd Stadium,59,Georgia Tech,fbs,ACC,69,34,14,14,7,0.999997106,,,2016,Alcorn State,fcs,SWAC,6,0,0,6,0,0.000002894014752,,,1.046623768,,,1,8
400764854,2015,1,regular,2015-09-03T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,26113,3892,Pratt & Whitney Stadium,41,UConn,fbs,American Athletic,20,6,0,7,7,0.9751954499,,,222,Villanova,fcs,CAA,15,0,9,0,6,0.02480455008,,,6.310949423,,,1,8
400603839,2015,1,regular,2015-09-04T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,30307,3973,FirstBank Stadium,238,Vanderbilt,fbs,SEC,12,0,3,0,9,0.6903780159,1365,1371,98,Western Kentucky,fbs,Conference USA,14,0,0,7,7,0.3096219841,1521,1515,5.657550961,,,1,1
400756883,2015,1,regular,2015-09-04T00:30:00.000Z,FALSE,TRUE,FALSE,FALSE,47825,587,Rice-Eccles Stadium,254,Utah,fbs,Pac-12,24,3,7,7,7,0.9017524509,1603,1610,130,Michigan,fbs,Big Ten,17,0,3,7,7,0.09824754911,1553,1546,4.617671116,,,1,1
400787110,2015,1,regular,2015-09-04T01:00:00.000Z,FALSE,TRUE,FALSE,FALSE,21209,3905,Maverik Stadium,328,Utah State,fbs,Mountain West,12,5,0,0,7,0.2917642802,,,253,Southern Utah,fcs,Big Sky,9,6,3,0,0,0.7082357198,,,8.845294967,,,1,8
400787302,2015,1,regular,2015-09-04T01:00:00.000Z,FALSE,TRUE,FALSE,FALSE,11587,3791,Kibbie Dome,70,Idaho,fbs,Sun Belt,28,3,10,0,15,0.005922595239,1167,1142,195,Ohio,fbs,Mid-American,45,21,7,3,14,0.9940774048,1321,1346,4.974684904,,,1,1
400763398,2015,1,regular,2015-09-04T01:00:00.000Z,FALSE,TRUE,FALSE,FALSE,54147,3953,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,17,0,3,7,7,0.07837070413,1633,1645,2628,TCU,fbs,Big 12,23,10,0,10,3,0.9216292959,1963,1951,2.753793028,,,1,1
400795502,2015,1,regular,2015-09-04T01:05:00.000Z,FALSE,TRUE,FALSE,FALSE,,3643,Bobcat Stadium,147,Montana State,fcs,Big Sky,45,0,14,14,17,,,,2237,Fort Lewis,ii,Rocky Mountain,14,0,0,7,7,,,,,,,8,#N/A
400756894,2015,1,regular,2015-09-04T01:30:00.000Z,FALSE,TRUE,FALSE,FALSE,25470,4729,Yulman Stadium,2655,Tulane,fbs,American Athletic,7,0,0,0,7,0.005530112651,1311,1259,150,Duke,fbs,ACC,37,3,10,3,21,0.9944698873,1572,1624,2.758259014,,,1,1
400799923,2015,1,regular,2015-09-04T02:00:00.000Z,FALSE,TRUE,FALSE,FALSE,32547,3660,Valley Children's Stadium,278,Fresno State,fbs,Mountain West,34,14,7,10,3,0.9879852753,,,2000,Abilene Christian,fcs,Southland,13,7,0,0,6,0.01201472473,,,3.633367764,,,1,8
400756882,2015,1,regular,2015-09-04T02:00:00.000Z,FALSE,TRUE,FALSE,FALSE,51111,3619,Arizona Stadium,12,Arizona,fbs,Pac-12,42,14,7,14,7,0.1537195028,1649,1642,2636,UTSA,fbs,Conference USA,32,0,20,6,6,0.8462804972,1294,1301,1.456988087,,,1,1
400787109,2015,1,regular,2015-09-04T02:00:00.000Z,FALSE,TRUE,FALSE,FALSE,15198,3935,CEFCU Stadium,23,San José State,fbs,Mountain West,43,20,6,10,7,0.9992858857,,,160,New Hampshire,fcs,CAA,13,0,7,0,6,0.0007141143429,,,2.007716122,,,1,8
400787108,2015,1,regular,2015-09-04T02:00:00.000Z,FALSE,TRUE,FALSE,FALSE,21483,3816,Mackay Stadium,2440,Nevada,fbs,Mountain West,31,7,14,3,7,0.9974701755,,,302,UC Davis,fcs,Big Sky,17,0,3,0,14,0.002529824484,,,2.400460369,,,1,8
400787107,2015,1,regular,2015-09-04T05:00:00.000Z,FALSE,TRUE,FALSE,FALSE,24255,3610,Aloha Stadium,62,Hawai'i,fbs,Mountain West,28,8,10,7,3,0.7829381333,1347,1360,38,Colorado,fbs,Pac-12,20,0,14,3,3,0.2170618667,1357,1344,,,,1,1
400763587,2015,1,regular,2015-09-04T19:30:00.000Z,FALSE,TRUE,FALSE,FALSE,10252,3495,Georgia Dome,2247,Georgia State,fbs,Sun Belt,20,0,3,3,14,0.5179462015,1092,1110,2429,Charlotte,fbs,Conference USA,23,13,7,3,0,0.4820537985,1500,1482,4.942768011,,,1,1
400756903,2015,1,regular,2015-09-04T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,30112,1964,JMA Wireless Dome,183,Syracuse,fbs,ACC,47,14,17,9,7,0.9999822963,,,227,Rhode Island,fcs,CAA,0,0,0,0,0,0.00001770365256,,,2.02816743,,,1,8
400764855,2015,1,regular,2015-09-04T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,32047,3735,Gerald J. Ford Stadium,2567,SMU,fbs,American Athletic,21,14,7,0,0,0.003645725186,1147,1132,239,Baylor,fbs,Big 12,56,28,0,14,14,0.9963542748,1874,1889,1.805976446,,,1,1
400799427,2015,1,regular,2015-09-04T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3624,Arute Field,2115,Central Connecticut,fcs,NEC,14,0,7,0,7,,,,2329,Lehigh,fcs,Patriot,20,0,17,3,0,,,,,,,8,8
400760491,2015,1,regular,2015-09-04T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,22523,3841,Michie Stadium,349,Army,fbs,FBS Independents,35,14,7,8,6,0.5078210157,,,2230,Fordham,fcs,Patriot,37,14,13,2,8,0.4921789843,,,6.9596631,,,1,8
400763470,2015,1,regular,2015-09-04T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,30885,3980,Waldo Stadium,2711,Western Michigan,fbs,Mid-American,24,7,3,7,7,0.08767580319,1444,1451,127,Michigan State,fbs,Big Ten,37,20,7,7,3,0.9123241968,1850,1843,1.230807391,,,1,1
400795631,2015,1,regular,2015-09-04T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3695,Delaware Stadium,48,Delaware,fcs,CAA,14,0,7,0,7,,,,294,Jacksonville,fcs,Pioneer,20,7,0,3,10,,,,,,,8,8
400756887,2015,1,regular,2015-09-05T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,35160,3893,Reser Stadium,204,Oregon State,fbs,Pac-12,26,0,6,7,13,0.9997384979,,,2692,Weber State,fcs,Big Sky,7,0,0,7,0,0.0002615021382,,,4.228651765,,,1,8
400756888,2015,1,regular,2015-09-05T02:26:00.000Z,FALSE,TRUE,FALSE,FALSE,36836,3653,Albertsons Stadium,68,Boise State,fbs,Mountain West,16,6,10,0,0,0.959979119,1716,1716,264,Washington,fbs,Pac-12,13,0,0,10,3,0.04002088098,1625,1625,5.211559612,,,1,1
400763494,2015,1,regular,2015-09-05T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,38117,3665,SECU Stadium,120,Maryland,fbs,Big Ten,50,10,12,7,21,0.997639517,,,257,Richmond,fcs,CAA,21,7,7,0,7,0.002360483015,,,3.660566129,,,1,8
400763401,2015,1,regular,2015-09-05T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3833,Memorial Stadium,2305,Kansas,fbs,Big 12,38,7,7,14,10,0.1413291241,,,2571,South Dakota State,fcs,MVFC,41,17,14,3,7,0.8586708759,,,6.74130229,,,1,8
400763473,2015,1,regular,2015-09-05T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,59450,3793,Kinnick Stadium,2294,Iowa,fbs,Big Ten,31,7,10,7,7,0.9982877147,,,2287,Illinois State,fcs,MVFC,14,0,0,0,14,0.001712285329,,,2.313022755,,,1,8
400763496,2015,1,regular,2015-09-05T16:00:00.000Z,FALSE,TRUE,TRUE,FALSE,47453,3754,High Point Solutions Stadium,164,Rutgers,fbs,Big Ten,63,7,14,28,14,0.9994791848,,,2450,Norfolk State,fcs,MEAC,13,7,6,0,0,0.0005208151749,,,2.769584999,,,1,8
400603835,2015,1,regular,2015-09-05T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,60186,3974,Vaught-Hemingway Stadium,145,Ole Miss,fbs,SEC,76,27,14,14,21,0.9999975285,,,2630,UT Martin,fcs,OVC,3,0,0,3,0,0.000002471492475,,,1.00533327,,,1,8
400799833,2015,1,regular,2015-09-05T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3777,Joe Walton Stadium,2523,Robert Morris,fcs,NEC,24,0,10,0,14,,,,2168,Dayton,fcs,Pioneer,27,0,0,17,10,,,,,,,8,8
400799832,2015,1,regular,2015-09-05T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3623,Arthur J. Rooney Athletic Field,2184,Duquesne,fcs,NEC,47,21,16,3,7,,,,3077,Kentucky Christian,,,7,0,0,0,7,,,,,,,8,#N/A
400799428,2015,1,regular,2015-09-05T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3694,DeGol Field,2598,St. Francis (PA),fcs,NEC,48,21,6,7,14,,,,46,Georgetown,fcs,Patriot,20,0,6,7,7,,,,,,,8,8
