Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores[0],HomeLineScores[1],HomeLineScores[2],HomeLineScores[3],HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores[0],AwayLineScores[1],AwayLineScores[2],AwayLineScores[3],AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,Highlights,Notes,awayLeagueId,homeLeagueId
252440119,2005,1,regular,2005-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3781,Johnny Unitas Stadium,119,Towson,fcs,Atlantic 10,29,7,6,6,10,,,,2415,Morgan State,fcs,MEAC,26,7,13,6,0,,,,,,,8,8
252440276,2005,1,regular,2005-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,25102,3775,Joan C. Edwards Stadium,276,Marshall,fbs,Conference USA,36,10,13,6,7,,,,2729,William & Mary,fcs,Atlantic 10,24,3,7,14,0,,,,,,,1,8
252440257,2005,1,regular,2005-09-01T23:00:00.000Z,FALSE,TRUE,TRUE,TRUE,,,,257,Richmond,fcs,Atlantic 10,6,0,0,6,0,,,,113,Massachusetts,fcs,Atlantic 10,19,9,7,0,3,,,,,,,8,8
252442649,2005,1,regular,2005-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,20092,3739,Glass Bowl,2649,Toledo,fbs,Mid-American,62,13,28,14,7,,,,2710,Western Illinois,fcs,MVFC,14,0,0,0,14,,,,,,,1,8
252442546,2005,1,regular,2005-09-01T23:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,3758,Houck Stadium,2546,Southeast Missouri State,fcs,OVC,23,0,10,7,6,,,,79,Southern Illinois,fcs,MVFC,58,23,14,0,21,,,,,,,8,8
252442717,2005,1,regular,2005-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3704,E. J. Whitmire Stadium,2717,Western Carolina,fcs,Southern,21,7,0,0,14,,,,2369,Mars Hill,,,7,0,7,0,0,,,,,,,8,#N/A
252442534,2005,1,regular,2005-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3647,Elliott T. Bowers Stadium,2534,Sam Houston,fcs,Southland,77,14,28,14,21,,,,487,Bacone College,,,7,0,0,0,7,,,,,,,8,#N/A
252440248,2005,1,regular,2005-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,,,248,Houston,fbs,Conference USA,24,21,0,0,3,,1361,1345,2483,Oregon,fbs,Pac-10,38,14,3,14,7,,1527,1543,,,AT RELIANT STADIUM,1,1
252440154,2005,1,regular,2005-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,fbs,ACC,20,3,3,7,7,,1457,1446,238,Vanderbilt,fbs,SEC,24,3,7,7,7,,1385,1396,,,,1,1
252442132,2005,1,regular,2005-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3854,Nippert Stadium,2132,Cincinnati,fbs,Big East,28,14,0,7,7,,1539,1535,2199,Eastern Michigan,fbs,Mid-American,26,10,10,0,6,,1201,1205,,,,1,1
