Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores[0],HomeLineScores[1],HomeLineScores[2],HomeLineScores[3],HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores[0],AwayLineScores[1],AwayLineScores[2],AwayLineScores[3],AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,Highlights,Notes,awayLeagueId,homeLeagueId
222340258,2002,1,regular,2002-08-22T23:30:00.000Z,FALSE,TRUE,FALSE,TRUE,57120,3923,Scott Stadium,258,Virginia,fbs,ACC,29,0,7,14,8,,1432,1431,36,Colorado State,fbs,Mountain West,35,6,13,3,13,,1561,1562,,,,1,1
222350275,2002,1,regular,2002-08-24T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,75136,347,Camp Randall Stadium,275,Wisconsin,fbs,Big Ten,23,0,10,7,6,,1532,1535,278,Fresno State,fbs,Western Athletic,21,7,0,7,7,,1713,1710,,,,1,1
222360194,2002,1,regular,2002-08-24T18:30:00.000Z,FALSE,TRUE,FALSE,FALSE,100037,3861,Ohio Stadium,194,Ohio State,fbs,Big Ten,45,14,7,17,7,,1665,1724,2641,Texas Tech,fbs,Big 12,21,7,0,0,14,,1657,1598,,,,1,1
222360152,2002,1,regular,2002-08-24T20:30:00.000Z,FALSE,TRUE,FALSE,TRUE,47018,3670,Carter-Finley Stadium,152,NC State,fbs,ACC,34,7,14,6,7,,1572,1618,167,New Mexico,fbs,Mountain West,14,0,0,7,7,,1570,1524,,,,1,1
222360158,2002,1,regular,2002-08-24T23:45:00.000Z,FALSE,TRUE,FALSE,FALSE,77779,3834,"Memorial Stadium (Lincoln, NE)",158,Nebraska,fbs,Big 12,48,3,7,14,24,,1834,1900,9,Arizona State,fbs,Pac-10,10,3,0,7,0,,1507,1441,,,,1,1
222360066,2002,1,regular,2002-08-25T00:30:00.000Z,FALSE,TRUE,FALSE,FALSE,55132,,,66,Iowa State,fbs,Big 12,31,0,14,3,14,,1559,1562,52,Florida State,fbs,ACC,38,17,14,0,7,,1769,1766,,,,1,1
222370259,2002,1,regular,2002-08-25T18:30:00.000Z,FALSE,TRUE,FALSE,FALSE,54016,3799,Lane Stadium,259,Virginia Tech,fbs,Big East,63,35,21,7,0,,1729,1816,2032,Arkansas State,fbs,Sun Belt,7,0,0,7,0,,1117,1030,,,,1,1
222410189,2002,2,regular,2002-08-29T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,15696,3700,Doyt L. Perry Stadium,189,Bowling Green,fbs,Mid-American,41,,,,,,,,2635,Tennessee Tech,,,7,,,,,,,,,,,1,#N/A
222410218,2002,2,regular,2002-08-29T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,15329,3730,Franklin Field,218,Temple,fbs,Big East,34,3,10,7,14,,,,257,Richmond,,,7,7,0,0,0,,,,,,,1,#N/A
222412649,2002,2,regular,2002-08-29T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,23074,3739,Glass Bowl,2649,Toledo,fbs,Mid-American,44,,,,,,,,13,Cal Poly,,,16,,,,,,,,,,,1,#N/A
222412309,2002,2,regular,2002-08-29T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,16073,3696,Dix Stadium,2309,Kent State,fbs,Mid-American,34,,,,,,,,160,New Hampshire,,,7,,,,,,,,,,,1,#N/A
222410058,2002,2,regular,2002-08-29T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,22074,3886,Raymond James Stadium,58,South Florida,fbs,FBS Independents,51,,,,,,1539,1654,2226,Florida Atlantic,,,10,,,,,,1500,1385,,,,1,#N/A
222412711,2002,2,regular,2002-08-29T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,28268,3980,Waldo Stadium,2711,Western Michigan,fbs,Mid-American,48,,,,,,,,282,Indiana State,,,17,,,,,,,,,,,1,#N/A
