Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores[0],HomeLineScores[1],HomeLineScores[2],HomeLineScores[3],HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores[0],AwayLineScores[1],AwayLineScores[2],AwayLineScores[3],AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,Highlights,Notes,,,awayLeagueId,homeLeagueId
282410066,2008,1,regular,2008-08-29T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,46617,3772,Jack Trice Stadium,66,Iowa State,fbs,Big 12,44,10,10,14,10,,,,2571,South Dakota State,fcs,MVFC,17,0,0,3,14,,,,,,,,,1,#N/A
282410155,2008,1,regular,2008-08-29T00:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,,,155,North Dakota,fcs,Great West,40,3,14,20,3,,,,2658,Texas A&M-Kingsville,,,14,7,0,0,7,,,,,,,,,8,#N/A
282410239,2008,1,regular,2008-08-29T00:10:00.000Z,FALSE,TRUE,FALSE,FALSE,30633,3724,Floyd Casey Stadium,239,Baylor,fbs,Big 12,13,0,6,0,7,,1281,1245,154,Wake Forest,fbs,ACC,41,10,10,14,7,,1623,1659,,,,,,1,#N/A
282410024,2008,1,regular,2008-08-29T01:00:00.000Z,FALSE,TRUE,FALSE,TRUE,30223,3940,Stanford Stadium,24,Stanford,fbs,Pac-10,36,0,17,5,14,,1383,1410,204,Oregon State,fbs,Pac-10,28,0,17,3,8,,1612,1585,,,,,,1,#N/A
282412692,2008,1,regular,2008-08-29T01:05:00.000Z,FALSE,TRUE,FALSE,FALSE,,3942,Stewart Stadium,2692,Weber State,fcs,Big Sky,62,14,21,14,13,,,,2701,Montana-Western,,,6,0,6,0,0,,,,,,,,,8,#N/A
282420349,2008,1,regular,2008-08-29T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,21822,3841,Michie Stadium,349,Army,fbs,FBS Independents,7,0,0,7,0,,1243,1163,218,Temple,fbs,Mid-American,35,14,7,7,7,,1223,1303,,,,,,1,#N/A
282420242,2008,1,regular,2008-08-30T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,23164,3895,Rice Stadium,242,Rice,fbs,Conference USA,56,14,14,28,0,,1302,1379,2567,SMU,fbs,Conference USA,27,13,0,7,7,,1305,1228,,,,,,1,#N/A
282420301,2008,1,regular,2008-08-30T02:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,716,Torero Stadium,301,San Diego,fcs,Pioneer,40,7,13,7,13,,,,2368,Marist,fcs,FCS Independents,22,9,0,0,13,,,,,,,,,8,#N/A
282430099,2008,1,regular,2008-08-30T15:00:00.000Z,FALSE,TRUE,FALSE,FALSE,91922,3958,Tiger Stadium (LA),99,LSU,fbs,SEC,41,14,17,3,7,,1860,1888,2026,App State,fcs,Southern,13,0,0,7,6,,1454,1426,,,,,,1,#N/A
400361387,2008,1,regular,2008-08-30T15:00:00.000Z,FALSE,TRUE,FALSE,FALSE,91922,3958,Tiger Stadium (LA),99,LSU,fbs,SEC,41,14,17,3,7,,,,2026,App State,fcs,Southern,13,0,0,7,6,,,,,,,,,1,#N/A
282430151,2008,1,regular,2008-08-30T16:00:00.000Z,FALSE,TRUE,TRUE,FALSE,72169,,,151,East Carolina,fbs,Conference USA,27,0,7,6,14,,1474,1504,259,Virginia Tech,fbs,ACC,22,0,14,2,6,,1771,1741,,,,,,1,#N/A
282430077,2008,1,regular,2008-08-30T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,20015,3911,Ryan Field,77,Northwestern,fbs,Big Ten,30,0,9,14,7,,1403,1439,183,Syracuse,fbs,Big East,10,3,0,7,0,,1303,1267,,,,,,1,#N/A
282430084,2008,1,regular,2008-08-30T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,30067,3830,"Memorial Stadium (Bloomington, IN)",84,Indiana,fbs,Big Ten,31,10,7,7,7,,1480,1507,98,Western Kentucky,fbs,FBS Independents,13,0,0,6,7,,1344,1317,,,,,,1,#N/A
282430194,2008,1,regular,2008-08-30T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,105011,3861,Ohio Stadium,194,Ohio State,fbs,Big Ten,43,13,13,7,10,,,,2754,Youngstown State,fcs,MVFC,0,0,0,0,0,,,,,,,,,1,#N/A
282430221,2008,1,regular,2008-08-30T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,45063,3752,Acrisure Stadium,221,Pittsburgh,fbs,Big East,17,7,10,0,0,,1539,1500,189,Bowling Green,fbs,Mid-American,27,0,14,6,7,,1340,1379,,,,,,1,#N/A
282430213,2008,1,regular,2008-08-30T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,106577,3632,Beaver Stadium,213,Penn State,fbs,Big Ten,66,14,24,21,7,,1719,1862,324,Coastal Carolina,fcs,Big South,10,0,7,0,3,,1500,1357,,,,,,1,#N/A
282430275,2008,1,regular,2008-08-30T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,80910,347,Camp Randall Stadium,275,Wisconsin,fbs,Big Ten,38,14,3,14,7,,1697,1709,2006,Akron,fbs,Mid-American,17,0,10,0,7,,1306,1294,,,,,,1,#N/A
282432294,2008,1,regular,2008-08-30T16:05:00.000Z,FALSE,TRUE,FALSE,FALSE,70585,3793,Kinnick Stadium,2294,Iowa,fbs,Big Ten,46,14,8,3,21,,,,311,Maine,fcs,CAA,3,0,3,0,0,,,,,,,,,1,#N/A
282430061,2008,1,regular,2008-08-30T16:30:00.000Z,FALSE,TRUE,FALSE,FALSE,92746,3917,Sanford Stadium,61,Georgia,fbs,SEC,45,10,14,14,7,,1775,1804,290,Georgia Southern,fcs,Southern,21,0,0,7,14,,1484,1455,,,,,,1,#N/A
282430057,2008,1,regular,2008-08-30T16:30:00.000Z,FALSE,TRUE,FALSE,FALSE,90575,3634,Ben Hill Griffin Stadium,57,Florida,fbs,SEC,56,0,28,28,0,,1823,1935,62,Hawai'i,fbs,Western Athletic,10,0,0,0,10,,1635,1523,,,,,,1,#N/A
282432519,2008,1,regular,2008-08-30T17:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,3824,Meade Stadium,2519,Rhodes College,,,27,0,0,0,0,,,,2405,Monmouth,fcs,NEC,24,0,0,0,0,,,,,,,,,#N/A,#N/A
282432097,2008,1,regular,2008-08-30T17:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,,,2097,Campbell,fcs,Pioneer,6,3,0,0,3,,,,3,Birmingham-Southern,,,12,0,0,0,12,,,,,,,,,8,#N/A
282430227,2008,1,regular,2008-08-30T17:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3824,Meade Stadium,227,Rhode Island,fcs,CAA,27,7,10,3,7,,,,2405,Monmouth,fcs,NEC,24,3,0,14,7,,,,,,,,,8,#N/A
282432751,2008,1,regular,2008-08-30T18:00:00.000Z,FALSE,TRUE,FALSE,FALSE,20430,3984,War Memorial Stadium,2751,Wyoming,fbs,Mountain West,21,7,7,0,7,,1361,1362,195,Ohio,fbs,Mid-American,20,7,10,0,3,,1372,1371,,,,,,1,#N/A
282432005,2008,1,regular,2008-08-30T18:00:00.000Z,FALSE,TRUE,FALSE,FALSE,39180,3713,Falcon Stadium,2005,Air Force,fbs,Mountain West,41,9,12,13,7,,,,253,Southern Utah,fcs,Great West,7,0,0,7,0,,,,,,,,,1,#N/A
282430147,2008,1,regular,2008-08-30T19:05:00.000Z,FALSE,TRUE,FALSE,FALSE,,3643,Bobcat Stadium,147,Montana State,fcs,Big Sky,59,7,31,14,7,,,,2001,Adams State,,,3,0,0,0,3,,,,,,,,,8,#N/A
282430277,2008,1,regular,2008-08-30T19:30:00.000Z,FALSE,TRUE,FALSE,FALSE,60566,3842,Milan Puskar Stadium,277,West Virginia,fbs,Big East,48,7,17,10,14,,,,222,Villanova,fcs,CAA,21,0,7,0,14,,,,,,,,,1,#N/A
282430265,2008,1,regular,2008-08-30T19:30:00.000Z,FALSE,TRUE,FALSE,FALSE,50830,,,265,Washington State,fbs,Pac-10,13,0,0,6,7,,1430,1382,197,Oklahoma State,fbs,Big 12,39,3,12,10,14,,1618,1666,,,,,,1,#N/A
282430130,2008,1,regular,2008-08-30T19:30:00.000Z,FALSE,TRUE,FALSE,TRUE,108421,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,23,10,0,0,13,,1693,1689,254,Utah,fbs,Mountain West,25,6,16,3,0,,1673,1677,,,,,,1,#N/A
282430258,2008,1,regular,2008-08-30T19:30:00.000Z,FALSE,TRUE,FALSE,FALSE,64947,3923,Scott Stadium,258,Virginia,fbs,ACC,7,7,0,0,0,,1637,1531,30,USC,fbs,Pac-10,52,21,3,14,14,,1858,1964,,,,,,1,#N/A
282432426,2008,1,regular,2008-08-30T19:30:00.000Z,FALSE,TRUE,FALSE,FALSE,31613,3852,Navy-Marine Corps Memorial Stadium,2426,Navy,fbs,FBS Independents,41,14,10,7,10,,,,119,Towson,fcs,CAA,13,0,13,0,0,,,,,,,,,1,#N/A
282430120,2008,1,regular,2008-08-30T19:45:00.000Z,FALSE,TRUE,FALSE,FALSE,49119,3665,SECU Stadium,120,Maryland,fbs,ACC,14,0,7,7,0,,,,48,Delaware,fcs,CAA,7,0,0,0,7,,,,,,,,,1,#N/A
282430005,2008,1,regular,2008-08-30T20:00:00.000Z,FALSE,TRUE,FALSE,TRUE,19672,3803,Legion Field,5,UAB,fbs,Conference USA,22,13,9,0,0,,1211,1198,202,Tulsa,fbs,Conference USA,45,7,14,14,10,,1647,1660,,,,,,1,#N/A
282432502,2008,1,regular,2008-08-30T20:05:00.000Z,FALSE,TRUE,TRUE,FALSE,,,,2502,Portland State,fcs,Big Sky,31,7,0,14,10,,,,2848,Western Oregon,,,14,0,0,7,7,,,,,,,,,8,#N/A
282430276,2008,1,regular,2008-08-30T20:30:00.000Z,FALSE,TRUE,FALSE,FALSE,25661,3775,Joan C. Edwards Stadium,276,Marshall,fbs,Conference USA,35,7,7,14,7,,,,2287,Illinois State,fcs,MVFC,10,7,0,3,0,,,,,,,,,1,#N/A
282432115,2008,1,regular,2008-08-30T21:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3624,Arute Field,2115,Central Connecticut,fcs,NEC,42,7,14,0,21,,,,2803,Bryant,fcs,FCS Independents,35,3,10,0,22,,,,,,,,,8,#N/A
282432619,2008,1,regular,2008-08-30T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3788,Kenneth P. LaValle Stadium,2619,Stony Brook,fcs,Big South,42,14,14,14,0,,,,2142,Colgate,fcs,Patriot,26,3,3,13,7,,,,,,,,,8,#N/A
282430167,2008,1,regular,2008-08-30T22:00:00.000Z,FALSE,TRUE,FALSE,TRUE,31583,3971,University Stadium (NM),167,New Mexico,fbs,Mountain West,3,0,0,3,0,,1514,1471,2628,TCU,fbs,Mountain West,26,16,0,0,10,,1661,1704,,,,,,1,#N/A
282432016,2008,1,regular,2008-08-30T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3771,Jack Spinks Stadium,2016,Alcorn State,fcs,SWAC,28,14,7,0,7,,,,2545,SE Louisiana,fcs,Southland,34,14,7,0,13,,,,,,,,,8,#N/A
282432400,2008,1,regular,2008-08-30T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3896,Rice-Totten Field,2400,Mississippi Valley State,fcs,SWAC,38,7,17,14,0,,,,2637,Texas College,,,0,0,0,0,0,,,,,,,,,8,#N/A
282432448,2008,1,regular,2008-08-30T22:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,3601,Aggie Memorial Stadium,2448,North Carolina A&T,fcs,MEAC,44,21,16,0,7,,,,2304,Johnson C Smith,,,12,6,0,0,6,,,,,,,,,8,#N/A
282430050,2008,1,regular,2008-08-30T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3650,Bragg Memorial Stadium,50,Florida A&M,fcs,MEAC,30,14,7,9,0,,,,2011,Alabama State,fcs,SWAC,20,7,7,0,6,,,,,,,,,8,#N/A
282430252,2008,1,regular,2008-08-30T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,64108,3801,LaVell Edwards Stadium,252,BYU,fbs,Mountain West,41,14,13,0,14,,,,2460,Northern Iowa,fcs,MVFC,17,3,0,14,0,,,,,,,,,1,#N/A
282430113,2008,1,regular,2008-08-30T22:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,,,113,Massachusetts,fcs,CAA,28,0,14,7,7,,,,399,UAlbany,fcs,NEC,16,9,0,7,0,,,,,,,,,8,#N/A
282432529,2008,1,regular,2008-08-30T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3668,Campus Field,2529,Sacred Heart,fcs,NEC,42,0,7,21,14,,,,2038,Assumption,,,21,7,7,0,7,,,,,,,,,8,#N/A
282430153,2008,1,regular,2008-08-30T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,58000,3787,Kenan Stadium,153,North Carolina,fbs,ACC,35,7,7,7,14,,,,2377,McNeese,fcs,Southland,27,0,14,6,7,,,,,,,,,1,#N/A
282432450,2008,1,regular,2008-08-30T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3991,"William Dick"""" Price Stadium""""",2450,Norfolk State,fcs,MEAC,47,9,10,21,7,,,,330,Virginia St,,,7,0,0,0,7,,,,,,,,,8,#N/A
