Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores[0],HomeLineScores[1],HomeLineScores[2],HomeLineScores[3],HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores[0],AwayLineScores[1],AwayLineScores[2],AwayLineScores[3],AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,Highlights,Notes,awayLeagueId,homeLeagueId
400548974,2014,1,regular,2014-08-23T19:30:00.000Z,FALSE,TRUE,FALSE,FALSE,,3906,Roos Field,331,Eastern Washington,fcs,Big Sky,56,7,14,7,28,,,,2534,Sam Houston,fcs,Southland,35,0,21,0,14,,,,,,,8,8
400548403,2014,1,regular,2014-08-27T23:00:00.000Z,FALSE,TRUE,TRUE,FALSE,10140,3495,Georgia Dome,2247,Georgia State,fbs,Sun Belt,38,7,14,0,17,0.7040558473,,,2000,Abilene Christian,fcs,Southland,37,3,13,14,7,0.2959441527,,,9.078779615,,,1,8
400548402,2014,1,regular,2014-08-28T22:00:00.000Z,FALSE,TRUE,FALSE,TRUE,82847,3994,Williams-Brice Stadium,2579,South Carolina,fbs,SEC,28,7,7,14,0,0.005651845193,1863,1787,245,Texas A&M,fbs,SEC,52,10,21,14,7,0.9943481548,1765,1841,3.553158209,,,1,1
400558005,2014,1,regular,2014-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3788,Kenneth P. LaValle Stadium,2619,Stony Brook,fcs,CAA,7,0,7,0,0,,,,2803,Bryant,fcs,NEC,13,6,0,7,0,,,,,,,8,8
400558114,2014,1,regular,2014-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3629,Barker-Lane Stadium,2097,Campbell,fcs,Pioneer,9,0,3,0,6,,,,2429,Charlotte,fcs,FCS Independents,33,6,0,21,6,,,,,,,8,8
400558134,2014,1,regular,2014-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,4417,Five Star Stadium at the Moye Complex,2382,Mercer,fcs,Southern,45,7,17,14,7,,,,2890,Reinhardt University,,,42,7,14,14,7,,,,,,,8,#N/A
400558474,2014,1,regular,2014-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3777,Joe Walton Stadium,2523,Robert Morris,fcs,NEC,10,0,3,0,7,,,,2198,Eastern Kentucky,fcs,OVC,29,7,10,6,6,,,,,,,8,8
400547960,2014,1,regular,2014-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3953,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,42,7,7,7,21,0.9087074786,,,2197,Eastern Illinois,fcs,OVC,20,0,0,0,20,0.09129252135,,,3.084729969,,,1,8
400548090,2014,1,regular,2014-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,9104,3768,InfoCision Stadium,2006,Akron,fbs,Mid-American,41,21,0,13,7,0.9999808191,,,47,Howard,fcs,MEAC,0,0,0,0,0,0.00001918089386,,,0.3205177698,,,1,8
400548091,2014,1,regular,2014-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,12398,3764,Huskie Stadium,2459,Northern Illinois,fbs,Mid-American,55,17,17,21,0,0.999979429,,,2506,Presbyterian,fcs,Big South,3,0,0,3,0,0.00002057096505,,,0.1050365539,,,1,8
400548092,2014,1,regular,2014-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,15793,3786,Kelly/Shorts Stadium,2117,Central Michigan,fbs,Mid-American,20,0,7,13,0,0.9903185289,,,236,Chattanooga,fcs,Southern,16,3,13,0,0,0.00968147112,,,5.788649947,,,1,8
400547829,2014,1,regular,2014-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,21003,3817,Malone Stadium,2433,UL Monroe,fbs,Sun Belt,17,0,0,10,7,0.9897190482,1304,1318,154,Wake Forest,fbs,ACC,10,7,3,0,0,0.0102809518,1377,1363,6.450991847,,,1,1
400557394,2014,1,regular,2014-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3658,Buccaneer Field,2127,Charleston Southern,fcs,Big South,61,21,21,13,6,,,,3179,Point University,,,9,0,0,0,9,,,,,,,8,#N/A
400557454,2014,1,regular,2014-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3963,Harry Turpin Stadium,2466,Northwestern State,fcs,Southland,27,10,14,0,3,,,,2623,Missouri State,fcs,MVFC,34,0,7,7,20,,,,,,,8,8
400548256,2014,1,regular,2014-08-28T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,45925,587,Rice-Eccles Stadium,254,Utah,fbs,Pac-12,56,14,21,14,7,0.9998468252,,,304,Idaho State,fcs,Big Sky,14,7,0,7,0,0.0001531748358,,,0.0989172587,,,1,8
400559171,2014,1,regular,2014-08-28T23:30:00.000Z,FALSE,TRUE,TRUE,FALSE,,3758,Houck Stadium,2546,Southeast Missouri State,fcs,OVC,77,21,28,14,14,,,,2880,St. Louis,,,0,0,0,0,0,,,,,,,8,#N/A
400557455,2014,1,regular,2014-08-28T23:32:00.000Z,FALSE,TRUE,FALSE,FALSE,,3746,Hanson Field,2710,Western Illinois,fcs,MVFC,45,14,10,14,7,,,,2674,Valparaiso,fcs,Pioneer,6,0,0,0,6,,,,,,,8,8
400548404,2014,1,regular,2014-08-29T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,13772,3601,Aggie Memorial Stadium,166,New Mexico State,fbs,Sun Belt,28,7,7,7,7,0.9841450077,,,13,Cal Poly,fcs,Big Sky,10,7,3,0,0,0.01585499232,,,4.466368311,,,1,8
400547647,2014,1,regular,2014-08-29T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,19032,3674,Chapman Stadium,202,Tulsa,fbs,American Athletic,38,0,14,3,11,0.6329726131,1345,1356,2655,Tulane,fbs,American Athletic,31,7,14,0,7,0.3670273869,1374,1363,9.360007166,,,1,1
400548169,2014,1,regular,2014-08-29T00:00:00.000Z,FALSE,TRUE,TRUE,FALSE,32823,3495,Georgia Dome,145,Ole Miss,fbs,SEC,35,7,0,0,28,,1625,1690,68,Boise State,fbs,Mountain West,13,0,3,3,7,,1653,1588,3.293556074,,,1,1
400577465,2014,1,regular,2014-08-29T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3913,Saluki Stadium,79,Southern Illinois,fcs,MVFC,45,21,14,0,10,,,,620,Taylor,,,0,0,0,0,0,,,,,,,8,#N/A
400561376,2014,1,regular,2014-08-29T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3962,Tucker Stadium,2635,Tennessee Tech,fcs,OVC,33,14,2,10,7,,,,3077,Kentucky Christian,,,7,0,0,0,7,,,,,,,8,#N/A
400559170,2014,1,regular,2014-08-29T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3909,Roy Stewart Stadium,93,Murray State,fcs,OVC,73,28,24,15,6,,,,2841,Union College,,,26,7,6,13,0,,,,,,,8,#N/A
400553383,2014,1,regular,2014-08-29T02:00:00.000Z,FALSE,TRUE,FALSE,FALSE,10371,3935,CEFCU Stadium,23,San José State,fbs,Mountain West,42,14,7,14,7,0.9999555698,,,155,North Dakota,fcs,Big Sky,10,0,3,0,7,0.00004443019406,,,0.3501613633,,,1,8
400547993,2014,1,regular,2014-08-29T02:00:00.000Z,FALSE,TRUE,FALSE,FALSE,30927,3673,Lumen Field,265,Washington State,fbs,Pac-12,38,3,14,14,7,0.9125893831,1450,1444,164,Rutgers,fbs,Big Ten,41,7,14,3,17,0.0874106169,1429,1435,6.703822136,,,1,1
400548255,2014,1,regular,2014-08-29T02:30:00.000Z,FALSE,TRUE,FALSE,FALSE,52133,3947,Mountain America Stadium,9,Arizona State,fbs,Pac-12,45,17,14,14,0,0.9999532689,,,2692,Weber State,fcs,Big Sky,14,0,0,7,7,0.00004673110432,,,0.0848473633,,,1,8
400547640,2014,1,regular,2014-08-29T02:50:00.000Z,FALSE,TRUE,FALSE,FALSE,31731,3973,FirstBank Stadium,238,Vanderbilt,fbs,SEC,7,0,7,0,0,0.117589908,1599,1495,218,Temple,fbs,American Athletic,37,7,14,13,3,0.882410092,1455,1559,3.742183387,,,1,1
