Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores,HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores,AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,Highlights,Notes,awayLeagueId,homeLeagueId
63068,2000,1,regular,2000-08-26T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,52,Florida State,fbs,ACC,29,,,1926,1957,252,BYU,fbs,Mountain West,3,,,1603,1572,,,,1,1
63071,2000,1,regular,2000-08-26T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,2641,Texas Tech,fbs,Big 12,24,,,1468,1503,167,New Mexico,fbs,Mountain West,3,,,1324,1289,,,,1,1
63069,2000,1,regular,2000-08-26T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,2306,Kansas State,fbs,Big 12,27,,,1908,1903,2294,Iowa,fbs,Big Ten,7,,,1344,1349,,,,1,1
63070,2000,1,regular,2000-08-26T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,2348,Louisiana Tech,fbs,FBS Independents,63,,,,,2400,Mississippi Valley State,,,10,,,,,,,,1,#N/A
63072,2000,1,regular,2000-08-27T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,30,USC,fbs,Pac-10,29,,,1641,1718,213,Penn State,fbs,Big Ten,5,,,1789,1712,,,,1,1
63077,2000,2,regular,2000-08-31T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,276,Marshall,fbs,Mid-American,63,,,,,2546,Southeast Missouri State,,,7,,,,,,,,1,#N/A
63078,2000,2,regular,2000-08-31T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,2390,Miami,fbs,Big East,61,,,,,2377,McNeese,,,14,,,,,,,,1,#N/A
63080,2000,2,regular,2000-08-31T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,275,Wisconsin,fbs,Big Ten,19,,,1853,1849,2711,Western Michigan,fbs,Mid-American,7,,,1488,1492,,,,1,1
63079,2000,2,regular,2000-08-31T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,77,Northwestern,fbs,Big Ten,35,,,1343,1385,2459,Northern Illinois,fbs,Mid-American,17,,,1363,1321,,,,1,1
63073,2000,2,regular,2000-08-31T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,154,Wake Forest,fbs,ACC,16,,,1563,1551,2026,App State,,,20,,,1479,1491,,,,1,#N/A
63074,2000,2,regular,2000-08-31T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,21,San Diego State,fbs,Mountain West,7,,,1565,1557,9,Arizona State,fbs,Pac-10,10,,,1512,1520,,,,1,1
63075,2000,2,regular,2000-08-31T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,2,Auburn,fbs,SEC,35,,,1595,1613,2751,Wyoming,fbs,Mountain West,21,,,1478,1460,,,,1,1
63076,2000,2,regular,2000-08-31T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,249,North Texas,fbs,Big West,7,,,1182,1154,239,Baylor,fbs,Big 12,20,,,1191,1219,,,,1,1
63093,2000,2,regular,2000-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,356,Illinois,fbs,Big Ten,35,,,1670,1695,2393,Middle Tennessee,fbs,FBS Independents,6,,,1211,1186,,,,1,1
63094,2000,2,regular,2000-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,,,66,Iowa State,fbs,Big 12,25,,,1455,1472,195,Ohio,fbs,Mid-American,15,,,1459,1442,,,,1,1
