Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores[0],HomeLineScores[1],HomeLineScores[2],HomeLineScores[3],HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores[0],AwayLineScores[1],AwayLineScores[2],AwayLineScores[3],AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,Highlights,Notes,awayLeagueId,homeLeagueId
401128622,2019,1,regular,2019-08-24T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3617,Andy Kerr Stadium,2142,Colgate,fcs,Patriot,14,0,0,7,7,,,,222,Villanova,fcs,CAA,34,0,27,0,7,,,,,,,8,8
401127303,2019,1,regular,2019-08-24T19:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,3689,Cramton Bowl,2535,Samford,fcs,Southern,22,7,0,0,15,,,,2754,Youngstown State,fcs,MVFC,45,14,10,0,21,,,,,,GUARDIAN CREDIT UNION FCS KICKOFF,8,8
401110723,2019,1,regular,2019-08-24T23:00:00.000Z,FALSE,TRUE,TRUE,FALSE,66543,4013,Camping World Stadium,57,Florida,fbs,SEC,24,7,0,10,7,0.9059534582,1683,1688,2390,Miami,fbs,ACC,20,3,10,0,7,0.09404654179,1611,1606,8.767910242,https://www.youtube.com/watch?v=WeJi4p0jqXA,CAMPING WORLD KICKOFF,1,1
401114164,2019,1,regular,2019-08-25T02:30:00.000Z,FALSE,TRUE,FALSE,FALSE,22396,3610,Aloha Stadium,62,Hawai'i,fbs,Mountain West,45,14,14,7,10,0.6886295726,1281,1302,12,Arizona,fbs,Pac-12,38,0,21,14,3,0.3113704274,1467,1446,7.842416868,https://www.youtube.com/watch?v=eJI8vkRqz0o,,1,1
401128597,2019,1,regular,2019-08-29T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3774,Jayne Stadium,2413,Morehead State,fcs,Pioneer,44,7,16,14,7,,,,2841,Union College,,,7,0,0,0,7,,,,,,,8,#N/A
401127039,2019,1,regular,2019-08-29T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3695,Delaware Stadium,48,Delaware,fcs,CAA,31,3,13,9,6,,,,2169,Delaware State,fcs,MEAC,13,3,3,0,7,,,,,,,8,8
401128354,2019,1,regular,2019-08-29T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3908,Roy Kidd Stadium,2198,Eastern Kentucky,fcs,OVC,53,15,17,7,14,,,,2674,Valparaiso,fcs,Pioneer,7,0,0,7,0,,,,,,,8,8
401128490,2019,1,regular,2019-08-29T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3720,Finley Stadium,236,Chattanooga,fcs,Southern,24,7,10,7,0,,,,2197,Eastern Illinois,fcs,OVC,10,3,7,0,0,,,,,,,8,8
401128370,2019,1,regular,2019-08-29T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3909,Roy Stewart Stadium,93,Murray State,fcs,OVC,59,17,14,14,14,,,,95,Pikeville,,,20,3,14,3,0,,,,,,,8,#N/A
401117854,2019,1,regular,2019-08-29T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,38032,3854,Nippert Stadium,2132,Cincinnati,fbs,American Athletic,24,7,3,7,7,0.9968294674,1625,1629,26,UCLA,fbs,Pac-12,14,0,7,7,0,0.003170532609,1431,1427,5.498682126,https://www.youtube.com/watch?v=Y9XAYpeOi0I,,1,1
