Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores[0],HomeLineScores[1],HomeLineScores[2],HomeLineScores[3],HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores[0],AwayLineScores[1],AwayLineScores[2],AwayLineScores[3],AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,Highlights,Notes,awayLeagueId,homeLeagueId
242412535,2004,1,regular,2004-08-28T23:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,,,2535,Samford,fcs,OVC,34,0,12,7,15,,,,2695,West Alabama,,,20,0,10,0,10,,,,,,,8,#N/A
242410093,2004,1,regular,2004-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3909,Roy Stewart Stadium,93,Murray State,fcs,OVC,56,21,7,14,14,,,,2249,Glenville State,,,3,0,0,0,3,,,,,,,8,#N/A
242410193,2004,1,regular,2004-08-28T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3996,Yager Stadium,193,Miami (OH),fbs,Mid-American,49,14,28,7,0,,,,282,Indiana State,fcs,MVFC,0,0,0,0,0,,,,,,,1,8
242410259,2004,1,regular,2004-08-28T23:40:00.000Z,FALSE,TRUE,FALSE,TRUE,91665,,,259,Virginia Tech,fbs,ACC,13,3,7,0,3,,1748,1740,30,USC,fbs,Pac-10,24,7,0,7,10,,1925,1933,,,BCA CLASSIC AT LANDOVER MD,1,1
242462199,2004,2,regular,2004-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,TRUE,0,3912,Rynearson Stadium,2199,Eastern Michigan,fbs,Mid-American,37,14,13,3,7,,1219,1219,2084,Buffalo,fbs,Mid-American,34,7,14,7,6,,1172,1172,,,,1,1
242460048,2004,2,regular,2004-09-02T23:00:00.000Z,FALSE,TRUE,TRUE,TRUE,,,,48,Delaware,fcs,Atlantic 10,21,0,3,12,6,,,,160,New Hampshire,fcs,Atlantic 10,24,7,0,10,7,,,,,,,8,8
242462623,2004,2,regular,2004-09-02T23:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,,,2623,Missouri State,fcs,MVFC,31,3,7,7,14,,,,2181,Drake,fcs,Pioneer,26,7,6,7,6,,,,,,,8,8
242460222,2004,2,regular,2004-09-02T23:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,,,222,Villanova,fcs,Atlantic 10,20,0,13,7,0,,,,2083,Bucknell,fcs,Patriot,14,0,0,0,14,,,,,,,8,8
242462717,2004,2,regular,2004-09-02T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3704,E. J. Whitmire Stadium,2717,Western Carolina,fcs,Southern,77,7,36,20,14,,,,2707,West Virginia State,,,7,0,0,0,7,,,,,,,8,#N/A
242462275,2004,2,regular,2004-09-02T23:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,,,2275,Hofstra,fcs,Atlantic 10,45,14,24,7,0,,,,399,UAlbany,fcs,NEC,0,0,0,0,0,,,,,,,8,8
242462447,2004,2,regular,2004-09-02T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,,3779,Manning Field at John L. Guidry Stadium,2447,Nicholls,fcs,Southland,37,14,16,7,0,,,,331,Eastern Washington,fcs,Big Sky,14,0,0,7,7,,,,,,,8,8
242462754,2004,2,regular,2004-09-02T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,,844,Stambaugh Stadium,2754,Youngstown State,fcs,MVFC,35,0,0,21,14,,,,215,Slippery Rock,,,13,0,6,0,7,,,,,,,8,#N/A
242460254,2004,2,regular,2004-09-02T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,0,587,Rice-Eccles Stadium,254,Utah,fbs,Mountain West,41,7,20,7,7,,1629,1653,245,Texas A&M,fbs,Big 12,21,0,7,0,14,,1399,1375,,,,1,1
242460079,2004,2,regular,2004-09-03T00:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,,,79,Southern Illinois,fcs,MVFC,42,7,7,14,14,,,,2546,Southeast Missouri State,fcs,OVC,3,3,0,0,0,,,,,,,8,8
242462545,2004,2,regular,2004-09-03T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3944,Strawberry Stadium,2545,SE Louisiana,fcs,FCS Independents,46,7,39,0,0,,,,2028,Arkansas-Monticello,,,32,7,25,0,0,,,,,,,8,#N/A
